section,object_name,item_name,details
constraint,property_photos,2200_30070_1_not_null,"{""check_clause"":""id IS NOT NULL"",""constraint_type"":""CHECK""}"
constraint,property_photos,2200_30070_2_not_null,"{""check_clause"":""property_id IS NOT NULL"",""constraint_type"":""CHECK""}"
constraint,property_photos,2200_30070_4_not_null,"{""check_clause"":""storage_path IS NOT NULL"",""constraint_type"":""CHECK""}"
constraint,property_photos,2200_30070_5_not_null,"{""check_clause"":""thumb_path IS NOT NULL"",""constraint_type"":""CHECK""}"
constraint,property_photos,property_photos_pkey,"{""columns"":[""id""],""constraint_type"":""PRIMARY KEY""}"
function,public,assign_public_property_numbers,"{""data_type"":""trigger"",""routine_type"":""FUNCTION""}"
function,public,compute_property_registration_confidence_v2,"{""data_type"":""text"",""routine_type"":""FUNCTION""}"
function,public,compute_property_registration_identity_key,"{""data_type"":""text"",""routine_type"":""FUNCTION""}"
function,public,compute_property_registration_identity_key_v2,"{""data_type"":""text"",""routine_type"":""FUNCTION""}"
function,public,enforce_staff_property_update,"{""data_type"":""trigger"",""routine_type"":""FUNCTION""}"
function,public,extract_property_ho_key_v2,"{""data_type"":""text"",""routine_type"":""FUNCTION""}"
function,public,normalize_property_floor_key,"{""data_type"":""text"",""routine_type"":""FUNCTION""}"
function,public,normalize_property_floor_key_v2,"{""data_type"":""text"",""routine_type"":""FUNCTION""}"
function,public,sync_properties_identity_key,"{""data_type"":""trigger"",""routine_type"":""FUNCTION""}"
function,public,sync_properties_identity_key_v2,"{""data_type"":""trigger"",""routine_type"":""FUNCTION""}"
function,public,touch_property_photos_updated_at,"{""data_type"":""trigger"",""routine_type"":""FUNCTION""}"
index,profiles,profiles_pkey,"{""indexdef"":""CREATE UNIQUE INDEX profiles_pkey ON public.profiles USING btree (id)""}"
index,properties,properties_assignee_idx,"{""indexdef"":""CREATE INDEX properties_assignee_idx ON public.properties USING btree (assignee_id)""}"
index,properties,properties_general_idx,"{""indexdef"":""CREATE INDEX properties_general_idx ON public.properties USING btree (is_general)""}"
